,Rank,RatingTomatometer,Title,No. of Reviews
0,1.0,98%,One Night in Miami,331
1,2.0,98%,Portrait of a Lady on Fire,320
2,3.0,98%,Minari,307
3,4.0,98%,Ma Rainey's Black Bottom,297
4,5.0,95%,Soul,341
5,6.0,89%,1917,458
6,7.0,91%,The Invisible Man,410
7,8.0,99%,Never Rarely Sometimes Always,232
8,9.0,97%,Sound of Metal,274
9,10.0,90%,Promising Young Woman,399
10,11.0,99%,Wolfwalkers,161
11,12.0,97%,Hamilton,199
12,13.0,95%,Palm Springs,241
13,14.0,92%,Da 5 Bloods,302
14,15.0,96%,First Cow,208
15,16.0,100%,His House,117
16,17.0,99%,Miss Juneteenth,138
17,18.0,99%,Collective,129
18,19.0,100%,76 Days,98
19,20.0,100%,Crip Camp: A Disability Revolution,98
20,21.0,89%,The Trial of the Chicago 7,331
21,22.0,98%,David Byrne's American Utopia,134
22,23.0,100%,Dick Johnson Is Dead,90
23,24.0,100%,Host,89
24,25.0,94%,Possessor: Uncut,217
25,26.0,98%,The Forty-Year-Old Version,130
26,27.0,99%,Totally Under Control,102
27,28.0,99%,Saint Frances,102
28,29.0,98%,Time,122
29,30.0,98%,Blow the Man Down,120
30,31.0,88%,Onward,336
31,32.0,92%,The Personal History of David Copperfield,244
32,33.0,92%,The Vast of Night,244
33,34.0,100%,Welcome to Chechnya,71
34,35.0,100%,All In: The Fight for Democracy,66
35,36.0,100%,Mucho Mucho Amor: The Legend of Walter Mercado,62
36,37.0,92%,The Assistant,232
37,38.0,92%,Relic,231
38,39.0,100%,Athlete A,56
39,40.0,98%,Corpus Christi,99
40,41.0,99%,Driveways,77
41,42.0,97%,The Truffle Hunters,119
42,43.0,99%,On the Record,73
43,44.0,98%,Extra Ordinary,93
44,45.0,100%,Slay the Dragon,49
45,46.0,100%,House of Hummingbird,46
46,47.0,99%,The Fight,67
47,48.0,100%,A Secret Love,45
48,49.0,100%,Coup 53,44
49,50.0,100%,Rewind,44
50,51.0,100%,Coded Bias,43
51,52.0,100%,Mayor,42
52,53.0,100%,Mystify: Michael Hutchence,41
53,54.0,100%,A Thousand Cuts,40
54,55.0,92%,Another Round,211
55,56.0,97%,The Half of It,101
56,57.0,93%,Saint Maud,183
57,58.0,96%,The Painter and the Thief,110
58,59.0,97%,Gunda,88
59,60.0,98%,City Hall,64
60,61.0,98%,Anything for Jackson,62
61,62.0,98%,Vitalina Varela,62
62,63.0,98%,Beats,62
63,64.0,98%,Circus of Books,59
64,65.0,96%,Night of the Kings,101
65,66.0,94%,Boys State,144
66,67.0,98%,Disclosure,55
67,68.0,93%,Bacurau,163
68,69.0,97%,Why Don't You Just Die!,76
69,70.0,98%,Apples,53
70,71.0,98%,The Swerve,53
71,72.0,91%,Enola Holmes,204
72,73.0,96%,La Llorona,94
73,74.0,96%,The Dissident,93
74,75.0,97%,Farewell Amor,71
75,76.0,98%,Sweat,48
76,77.0,98%,Fourteen,47
77,78.0,88%,News of the World,263
78,79.0,97%,Slaxx,67
79,80.0,98%,Make Up,45
80,81.0,98%,The Go-Go's,44
81,82.0,98%,Fireball: Visitors from Darker Worlds,43
82,83.0,98%,There Is No Evil,43
83,84.0,98%,The Last Tree,43
84,85.0,97%,Shithouse,64
85,86.0,97%,Rocks,64
86,87.0,98%,Assassins,42
87,88.0,97%,Spontaneous,63
88,89.0,93%,Babyteeth,149
89,90.0,97%,The Boy Behind the Door,62
90,91.0,97%,The Human Voice,61
91,92.0,96%,A Shaun the Sheep Movie: Farmageddon,78
92,93.0,90%,Kajillionaire,205
93,94.0,96%,Zappa,69
94,95.0,85%,Just Mercy,305
95,96.0,85%,Borat: Subsequent Moviefilm,303
96,97.0,79%,Birds of Prey,430
97,98.0,91%,The White Tiger,170
98,99.0,93%,"Yes, God, Yes",126
99,100.0,87%,Emma.,255
